date,weekdate,SamsungEU_end,SamsungEU_dpp,SamsungEU_start,SamsungEU_high,SamsungEU_low,SamsungEU_abount
18/01/11,3,1967000,0.67,1950000,1971000,1915000,42023
18/01/12,4,1958000,-0.46,1998000,1998000,1911000,46403
18/01/15,0,1977000,0.97,1962000,1992000,1955000,28060
18/01/16,1,2040000,3.19,1990000,2050000,1986000,37382
18/01/17,2,2012000,-1.37,2030000,2038000,1990000,28359
18/01/18,3,2047000,1.74,2022000,2066000,2021000,40490
18/01/19,4,2000000,-2.30,2050000,2061000,2000000,46015
18/01/22,0,1978000,-1.10,1985000,1990000,1957000,40378
18/01/23,1,2010000,1.62,1985000,2010000,1974000,28519
18/01/24,2,2012000,0.10,2000000,2027000,1995000,27040
18/01/25,3,2048000,1.79,2006000,2048000,1999000,23468
18/01/26,4,2070000,1.07,2059000,2071000,2038000,32909
18/01/29,0,2104000,1.64,2100000,2104000,2079000,37193
18/01/30,1,2050000,-2.57,2100000,2100000,2033000,35298
18/01/31,2,2109000,2.88,2048000,2215000,2038000,99658
18/02/01,3,2059000,-2.37,2137000,2137000,2051000,53040
18/02/02,4,1973000,-4.18,2050000,2052000,1973000,68655
18/02/05,0,1978000,0.25,1934000,1999000,1909000,38333
18/02/06,1,1958000,-1.01,1918000,1982000,1917000,42685
18/02/07,2,1881000,-3.93,1992000,1995000,1881000,41676
18/02/08,3,1905000,1.28,1876000,1918000,1876000,40335
18/02/09,4,1839000,-3.46,1860000,1875000,1833000,33747
18/02/12,0,1880000,2.23,1860000,1917000,1845000,35569
18/02/13,1,1985000,5.59,1939000,1996000,1912000,48889
18/02/14,2,2037000,2.62,2020000,2050000,2003000,34844
18/02/19,0,2037000,0.00,2088000,2088000,2009000,34810
18/02/20,1,2020000,-0.83,2041000,2045000,2007000,41540
18/02/21,2,2001000,-0.94,2025000,2025000,1964000,31759
18/02/22,3,1975000,-1.30,1980000,1994000,1972000,24560
18/02/23,4,1975000,0.00,1962000,2001000,1962000,38726
18/02/26,0,1981000,0.30,1996000,1997000,1974000,21754
18/02/27,1,1991000,0.50,2006000,2025000,2000000,32477
18/02/28,2,1995000,0.20,1983000,2011000,1980000,47851
18/03/02,4,1921000,-3.71,1950000,1951000,1920000,37218
18/03/05,0,1885000,-1.87,1916000,1934000,1879000,28243
18/03/06,1,1946000,3.24,1904000,1957000,1904000,23531
18/03/07,2,2015000,3.55,2007000,2035000,1957000,33498
18/03/08,3,2025000,0.50,2032000,2035000,2005000,14368
18/03/09,4,2080000,2.72,2040000,2087000,2036000,24339
18/03/12,0,2105000,1.20,2117000,2117000,2080000,15674
18/03/13,1,2169000,3.04,2127000,2169000,2120000,29924
18/03/14,2,2144000,-1.15,2145000,2159000,2135000,19847
18/03/15,3,2119000,-1.17,2144000,2153000,2117000,20152
18/03/16,4,2095000,-1.13,2108000,2112000,2058000,58027
18/03/19,0,2082000,-0.62,2095000,2105000,2076000,19470
18/03/20,1,2100000,0.86,2072000,2100000,2066000,20666
18/03/21,2,2106000,0.29,2117000,2120000,2101000,38844
18/03/22,3,2107000,0.05,2115000,2134000,2104000,30980
18/03/23,4,2030000,-3.65,2060000,2073000,2017000,28792
18/03/26,0,2056000,1.28,2010000,2056000,1997000,21814
18/03/27,1,2036000,-0.97,2067000,2068000,2020000,26176
18/03/28,2,2009000,-1.33,2010000,2029000,1987000,26390
18/03/29,3,2025000,0.80,2009000,2033000,1988000,16908
18/03/30,4,2040000,0.74,2043000,2049000,2031000,9048
18/04/02,0,2009000,-1.52,2035000,2035000,2005000,8016
18/04/03,1,2004000,-0.25,1991000,2004000,1970000,19319
18/04/04,2,1959000,-2.25,2007000,2008000,1953000,16444
18/04/05,3,2040000,4.13,1976000,2044000,1973000,24534
18/04/06,4,2012000,-1.37,2000000,2030000,1986000,28857
18/04/09,0,2035000,1.14,2001000,2037000,1998000,14561
18/04/10,1,2016000,-0.93,2031000,2031000,1997000,22605
18/04/11,2,2019000,0.15,2042000,2044000,2005000,11635
18/04/12,3,2038000,0.94,2027000,2039000,2018000,8862
18/04/13,4,2038000,0.00,2049000,2059000,2034000,21876
18/04/16,0,2060000,1.08,2045000,2060000,2037000,19804
18/04/17,1,2027000,-1.60,2053000,2063000,2027000,17368
18/04/18,2,2105000,3.85,2050000,2105000,2040000,38865
18/04/19,3,2151000,2.19,2120000,2156000,2110000,43478
18/04/20,4,2105000,-2.14,2116000,2131000,2092000,19362
18/04/23,0,2102000,-0.14,2066000,2110000,2065000,15895
18/04/24,1,2062000,-1.90,2102000,2103000,2050000,21957
18/04/25,2,2049000,-0.63,2022000,2052000,2022000,18823
18/04/26,3,2109000,2.93,2050000,2111000,2049000,26427
18/04/27,4,2125000,0.76,2155000,2175000,2112000,46275
18/04/30,0,2125000,0.00,2125000,2125000,2125000,0
18/05/02,2,2125000,0.00,2125000,2125000,2125000,0
18/05/03,3,2125000,0.00,2125000,2125000,2125000,0
18/05/04,4,41050,-3.41,42500,43000,41050,2214624
18/05/08,1,42000,2.31,42950,42950,41250,2809669
18/05/09,2,40550,-3.45,42000,42250,40550,1422660
18/05/10,3,40950,0.99,41150,41350,40300,1600837
18/05/11,4,40950,0.00,41500,41600,40850,835958
18/05/14,0,40500,-1.10,41000,41050,39750,1488726
18/05/15,1,39300,-2.96,40500,40550,39200,1544319
18/05/16,2,39700,1.02,39600,40050,39350,994494
18/05/17,3,38750,-2.39,40100,40100,38750,1097958
18/05/18,4,39800,2.71,39050,39800,38950,900490
18/05/21,0,39750,-0.13,39650,40050,39200,840825
18/05/23,2,40800,2.64,40350,41250,40250,1946233
18/05/24,3,40400,-0.98,40900,40950,40400,829264
18/05/25,4,41700,3.22,40400,41950,40050,2459296
18/05/28,0,41350,-0.84,41700,41900,41200,1210952
18/05/29,1,40600,-1.81,41250,41500,40600,726198
18/05/30,2,39000,-3.94,40150,40450,39000,1695460
18/05/31,3,40500,3.85,39750,40500,39600,4822847
18/06/01,4,40700,0.49,40600,40900,40250,976217
18/06/04,0,40900,0.49,40400,40900,40200,1016574
18/06/05,1,40900,0.00,40700,41000,40350,832953
18/06/07,3,40500,-0.98,41100,41250,40400,1230426
18/06/08,4,40350,-0.37,40600,40750,39650,1534793
18/06/11,0,39700,-1.61,40250,40250,39500,1788156
18/06/12,1,39150,-1.39,39700,39700,39100,1136748
18/06/14,3,38750,-1.02,38850,39150,38600,1808428
18/06/15,4,37800,-2.45,39100,39150,37800,2613261
18/06/18,0,37200,-1.59,37800,37900,36750,1808988
18/06/19,1,37000,-0.54,37300,37650,36650,1625303
18/06/20,2,37100,0.27,37500,37750,37000,1083287
18/06/21,3,37150,0.13,37800,37900,37150,1332203
18/06/22,4,37450,0.81,37100,37450,36400,1862272
18/06/25,0,37500,0.13,37900,37900,37100,1365551
18/06/26,1,37800,0.80,37000,38200,37000,1410723
18/06/27,2,38250,1.19,37850,38650,37700,1325150
18/06/28,3,37200,-2.75,37000,37800,37000,1475939
18/06/29,4,37650,1.21,36600,37650,36600,1816522
18/07/02,0,37100,-1.46,37900,38050,36650,865076
18/07/03,1,36800,-0.81,37150,37350,36800,938133
18/07/04,2,36800,0.00,37050,37400,36600,761142
18/07/05,3,37050,0.68,36700,37050,36550,465068
18/07/06,4,36350,-1.89,36950,37000,36050,1522503
18/07/09,0,36500,0.41,36500,36950,36350,1090331
18/07/10,1,37350,2.33,36950,37350,36850,1476563
18/07/11,2,37000,-0.94,37350,37350,36400,1249437
18/07/12,3,36400,-1.62,36600,36800,36000,1527750
18/07/13,4,37350,2.61,36400,37350,36400,1691911
18/07/16,0,37150,-0.54,37450,37700,37150,917573
18/07/17,1,37000,-0.40,37500,37500,36850,1308453
18/07/18,2,37900,2.43,37500,38000,37300,1393504
18/07/19,3,38050,0.40,38150,38150,37650,544934
18/07/20,4,38400,0.92,38000,38400,37500,784231
18/07/23,0,37200,-3.13,38150,38150,37100,917948
18/07/24,1,37400,0.54,37050,37550,36900,809453
18/07/25,2,37100,-0.80,37500,37600,36750,672547
18/07/26,3,37400,0.81,37200,37500,36650,1560792
18/07/27,4,37800,1.07,37400,38450,37300,645003
18/07/30,0,38350,1.46,37500,38350,37450,839274
18/07/31,1,38250,-0.26,37900,38250,37250,1715775
18/08/01,2,38400,0.39,38250,38400,37850,1539219
18/08/02,3,37800,-1.56,38400,38450,37500,1150157
18/08/03,4,37900,0.26,38150,38150,37450,949743
18/08/06,0,38000,0.26,37900,38100,37700,1042488
18/08/07,1,38100,0.26,37950,38250,37750,2031888
18/08/08,2,38400,0.79,38350,38400,37900,882441
18/08/09,3,38000,-1.04,38400,38450,38000,729608
18/08/10,4,37000,-2.63,37850,37850,36600,1338025
18/08/13,0,36700,-0.81,36500,36700,36350,902625
18/08/14,1,36850,0.41,36500,36900,36500,638309
18/08/16,3,35600,-3.39,36000,36300,35600,1374624
18/08/17,4,35850,0.70,35950,36350,35850,1232567
18/08/20,0,36050,0.56,35950,36450,35700,587065
18/08/21,1,37000,2.64,35850,37000,35850,1030578
18/08/22,2,38000,2.70,37500,38200,37050,1240229
18/08/23,3,38150,0.39,37850,38150,37300,1481776
18/08/24,4,38050,-0.26,38050,38150,37600,682736
18/08/27,0,38200,0.39,38350,38400,37900,1067319
18/08/28,1,38450,0.65,38450,38500,37950,987181
18/08/29,2,38700,0.65,38650,38700,38150,1255513
18/08/30,3,39100,1.03,38700,39350,38550,1347714
18/08/31,4,39700,1.53,38850,39700,38650,1525103
18/09/03,0,38800,-2.27,39500,39500,38650,459331
18/09/04,1,38950,0.39,38850,38950,38700,727071
18/09/05,2,37950,-2.57,38700,38700,37950,964442
18/09/06,3,37200,-1.98,37700,37800,37200,640228
18/09/07,4,36100,-2.96,36400,36500,35850,1747393
18/09/10,0,36400,0.83,35750,36400,35700,1712169
18/09/11,1,36050,-0.96,36150,36550,35950,1022169
18/09/12,2,35600,-1.25,36150,36200,35600,794199
18/09/13,3,35100,-1.40,35500,35950,35050,1681004
18/09/14,4,36650,4.42,35800,36650,35750,704944
18/09/17,0,36000,-1.77,36500,36600,35900,463299
18/09/18,1,36500,1.39,35850,36950,35650,1275845
18/09/19,2,37150,1.78,36850,37250,36550,895007
18/09/20,3,38050,2.42,37650,38200,37300,1960977
18/09/21,4,38500,1.18,37950,38500,37550,1868001
18/09/27,3,38400,-0.26,38200,38400,37700,2081294
18/09/28,4,37850,-1.43,38400,38450,36950,2268872
18/10/01,0,37950,0.26,37800,38050,37450,926264
18/10/02,1,37050,-2.37,37800,38050,37000,397528
18/10/04,3,36450,-1.62,37000,37100,36000,1074508
18/10/05,4,35850,-1.65,36500,36700,35800,1462510
18/10/08,0,35950,0.28,35850,36250,35750,1666571
18/10/10,2,36200,0.70,36350,36650,36000,1428427
18/10/11,3,34650,-4.28,35000,35650,34300,1976912
18/10/12,4,35800,3.32,34350,36100,34350,903246
18/10/15,0,35250,-1.54,35900,35900,34800,841475
18/10/16,1,35550,0.85,35350,35450,34900,755048
18/10/17,2,35900,0.98,35950,36100,35500,398999
18/10/18,3,35800,-0.28,35900,35900,35400,484319
18/10/19,4,35800,0.00,35450,35800,35200,543771
18/10/22,0,35300,-1.40,35050,35550,35000,437227
18/10/23,1,34900,-1.13,35250,35450,34700,1106957
18/10/24,2,34300,-1.72,34600,34900,34050,749719
18/10/25,3,33400,-2.62,33500,33700,33150,911599
18/10/26,4,33750,1.05,33600,33750,33000,987715
18/10/29,0,34000,0.74,33550,34500,33250,877243
18/10/30,1,35100,3.24,33450,35400,33450,1380950
18/10/31,2,35750,1.85,35500,35650,34400,2121637
18/11/01,3,35200,-1.54,35750,35750,34850,1532337
18/11/02,4,36400,3.41,35800,36500,35500,916472
18/11/05,0,36200,-0.55,36100,36400,35800,877907
18/11/06,1,36000,-0.55,36200,36250,35500,633364
