date,weekdate,LGE_RU,LGE_U,LGE_UC,LGE_D,LGE_RD,LGE_end,LGE_start,LGE_high,LGE_low,LGE_abount
18/03/08,3,107000,0,0,1,0,0,108500,109000,105500,911403
18/03/09,4,109000,0,1,0,0,0,109000,110500,108000,830465
18/03/12,0,109500,0,0,1,0,0,110500,111000,108500,573289
18/03/13,1,113500,0,1,0,0,0,110500,114000,109500,1151725
18/03/14,2,113000,0,0,1,0,0,112500,114000,111000,754011
18/03/15,3,111000,0,0,0,1,0,113500,113500,109000,753489
18/03/16,4,110500,0,0,1,0,0,111000,111500,109000,639540
18/03/19,0,111000,0,0,1,0,0,110500,112500,110000,302806
18/03/20,1,110000,0,0,1,0,0,110000,111000,109000,488409
18/03/21,2,112500,0,1,0,0,0,109500,112500,109500,575722
18/03/22,3,111500,0,0,1,0,0,112500,114500,111000,608489
18/03/23,4,106500,0,0,0,1,0,108500,110000,106000,696815
18/03/26,0,109000,0,1,0,0,0,106500,110500,106500,730771
18/03/27,1,111500,0,1,0,0,0,111500,113000,111000,904837
18/03/28,2,109000,0,0,0,1,0,111000,111000,108500,590380
18/03/29,3,109000,0,0,1,0,0,109500,110000,107500,561254
18/03/30,4,109500,0,0,1,0,0,110500,111000,109500,433535
18/04/02,0,110500,0,0,1,0,0,110000,112500,110000,340315
18/04/03,1,110500,0,0,1,0,0,109500,112000,109000,377188
18/04/04,2,104500,0,0,0,0,1,110500,111000,104500,909945
18/04/05,3,105000,0,0,1,0,0,106000,107500,104500,644490
18/04/06,4,111000,1,0,0,0,0,105500,111500,105000,1519548
18/04/09,0,109500,0,0,0,1,0,111500,112500,108500,727354
18/04/10,1,107000,0,0,0,1,0,109000,109000,105500,958899
18/04/11,2,107000,0,0,1,0,0,107500,108000,105500,533827
18/04/12,3,106500,0,0,1,0,0,106500,108000,105500,861133
18/04/13,4,106500,0,0,1,0,0,108000,108500,106000,517401
18/04/16,0,104500,0,0,0,1,0,106500,107000,104000,519056
18/04/17,1,105000,0,0,1,0,0,105000,107000,104000,473722
18/04/18,2,104000,0,0,1,0,0,106500,107000,104000,561642
